C,H,N,O,S,P,NOSC,mass,,PreSW4.csv,PreSW5.csv,PreSW6.csv,Initial,AvgInitial,,PosSW10.csv,PosSW11.csv,PosSW12.csv,Post,AvgPost,,H/C,O/C,,m/z,DBE,DBE/C,DBE/H,DBE/O,CRAM,,AI,AI-mod,,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,,KM,NKM,KMD
19,16,0,8,0,0,0,371.0772404,,6884890,6184177,6541702,Yes,6536923,,0,0,0,No,0,,0.842105263,0.421052632,,371.07724,12,0.631578947,0.75,1.5,CRAM,,,0.533333333,,----,Aromatic,----,----,----,----,,371.16305,371.00000,0.16305
19,21,2,5,0,1,-0.263157895,387.1115311,,4832198,4536484,4037176,Yes,4468619.333,,0,0,0,No,0,,1.105263158,0.263157895,,387.11153,11,0.578947368,0.523809524,2.2,O,,,0.518518519,,----,Aromatic,----,----,----,----,,387.20104,387.00000,0.20104
20,12,0,11,0,0,0.5,427.0306842,,3933673,3067936,3150220,Yes,3383943,,0,0,0,No,0,,0.6,0.55,,427.03068,15,0.75,1.25,1.363636364,O,,,0.655172414,,----,Aromatic,----,----,----,----,,427.12943,427.00000,0.12943
20,12,0,12,0,0,0.6,443.0255988,,3240516,3097330,2971644,Yes,3103163.333,,0,0,0,No,0,,0.6,0.6,,443.02560,15,0.75,1.25,1.25,O,,,0.642857143,,----,Aromatic,----,----,----,----,,443.12804,443.00000,0.12804
20,12,0,13,0,0,0.7,459.0205134,,2877145,2386285,2186242,Yes,2483224,,0,0,0,No,0,,0.6,0.65,,459.02051,15,0.75,1.25,1.153846154,O,,,0.62962963,,----,Aromatic,----,----,----,----,,459.12666,459.00000,0.12666
20,14,0,7,0,0,0,365.0666758,,2842931,2192494,2297983,Yes,2444469.333,,0,0,0,No,0,,0.7,0.35,,365.06668,14,0.7,1,2,O,,,0.636363636,,----,Aromatic,----,----,----,----,,365.15109,365.00000,0.15109
20,14,0,8,0,0,0.1,381.0615904,,3657775,3143459,3121771,Yes,3307668.333,,0,0,0,No,0,,0.7,0.4,,381.06159,14,0.7,1,1.75,O,,,0.625,,----,Aromatic,----,----,----,----,,381.14971,381.00000,0.14971
20,14,0,9,0,0,0.2,397.056505,,5188027,5013514,4134346,Yes,4778629,,0,0,0,No,0,,0.7,0.45,,397.05650,14,0.7,1,1.555555556,O,,,0.612903226,,----,Aromatic,----,----,----,----,,397.14832,397.00000,0.14832
20,14,0,10,0,0,0.3,413.0514196,,5566576,5038619,4956954,Yes,5187383,,0,0,0,No,0,,0.7,0.5,,413.05142,14,0.7,1,1.4,O,,,0.6,,----,Aromatic,----,----,----,----,,413.14693,413.00000,0.14693
20,14,0,11,0,0,0.4,429.0463342,,5897504,5463515,5334271,Yes,5565096.667,,0,0,0,No,0,,0.7,0.55,,429.04633,14,0.7,1,1.272727273,O,,,0.586206897,,----,Aromatic,----,----,----,----,,429.14554,429.00000,0.14554
20,14,0,12,0,0,0.5,445.0412488,,5606708,5197428,4780845,Yes,5194993.667,,0,0,0,No,0,,0.7,0.6,,445.04125,14,0.7,1,1.166666667,O,,,0.571428571,,----,Aromatic,----,----,----,----,,445.14416,445.00000,0.14416
20,14,0,13,0,0,0.6,461.0361634,,4202037,3930911,4112746,Yes,4081898,,0,0,0,No,0,,0.7,0.65,,461.03616,14,0.7,1,1.076923077,O,,,0.555555556,,----,Aromatic,----,----,----,----,,461.14277,461.00000,0.14277
20,14,0,14,0,0,0.7,477.031078,,2663967,2976308,2609288,Yes,2749854.333,,0,0,0,No,0,,0.7,0.7,,477.03108,14,0.7,1,1,O,,,0.538461538,,----,Aromatic,----,----,----,----,,477.14138,477.00000,0.14138
20,16,0,7,0,0,-0.1,367.0823258,,2668081,2792609,3018464,Yes,2826384.667,,0,0,0,No,0,,0.8,0.35,,367.08233,13,0.65,0.8125,1.857142857,O,,,0.575757576,,----,Aromatic,----,----,----,----,,367.16721,367.00000,0.16721
20,16,0,8,0,0,0,383.0772404,,4460240,3940618,4343407,Yes,4248088.333,,0,0,0,No,0,,0.8,0.4,,383.07724,13,0.65,0.8125,1.625,CRAM,,,0.5625,,----,Aromatic,----,----,----,----,,383.16582,383.00000,0.16582
20,16,0,9,0,0,0.1,399.072155,,6845251,6692155,6185718,Yes,6574374.667,,0,0,0,No,0,,0.8,0.45,,399.07215,13,0.65,0.8125,1.444444444,CRAM,,,0.548387097,,----,Aromatic,----,----,----,----,,399.16443,399.00000,0.16443
20,16,0,11,0,0,0.3,431.0619842,,7980100,7797129,7521380,Yes,7766203,,0,0,0,No,0,,0.8,0.55,,431.06198,13,0.65,0.8125,1.181818182,CRAM,,,0.517241379,,----,Aromatic,----,----,----,----,,431.16166,431.00000,0.16166
20,18,0,6,0,0,-0.3,353.1030612,,1943540,1524331,1941349,Yes,1803073.333,,0,0,0,No,0,,0.9,0.3,,353.10306,12,0.6,0.666666667,2,O,,,0.529411765,,----,Aromatic,----,----,----,----,,353.18471,353.00000,0.18471
